iter	Passed	Remaining
0	47	4730
1	48	2364
2	48	1571
3	48	1174
4	49	933
5	49	775
6	49	661
7	50	576
8	50	510
9	50	456
10	51	413
11	51	376
12	51	345
13	51	319
14	52	296
15	52	275
16	52	257
17	53	241
18	53	227
19	53	214
20	53	202
21	54	191
22	54	182
23	54	172
24	54	164
25	55	156
26	55	149
27	55	142
28	55	136
29	55	130
30	56	125
31	56	119
32	56	114
33	56	110
34	57	105
35	57	101
36	57	97
37	57	94
38	57	90
39	58	87
40	58	83
41	58	80
42	58	77
43	58	74
44	59	72
45	59	69
46	59	67
47	59	64
48	60	62
49	60	60
50	60	58
51	60	55
52	60	54
53	61	52
54	61	50
55	61	48
56	61	46
57	61	44
58	62	43
59	62	41
60	62	39
61	62	38
62	62	36
63	63	35
64	63	34
65	63	32
66	63	31
67	64	30
68	64	28
69	64	27
70	64	26
71	65	25
72	65	24
73	65	23
74	65	21
75	66	20
76	66	19
77	66	18
78	66	17
79	66	16
80	67	15
81	67	14
82	67	13
83	67	12
84	68	12
85	68	11
86	68	10
87	68	9
88	68	8
89	69	7
90	69	6
91	69	6
92	69	5
93	70	4
94	70	3
95	70	2
96	70	2
97	70	1
98	71	0
99	71	0
